NAME	UNIPROT	ACTIVES	INACTIVES	RATIO		
Aryl hydrocarbon receptor	P35869	47	389515	8288		
Vascular endothelial growth factor receptor 3	P35916	448	329791	736		
Vascular endothelial growth factor receptor 2	P35968	3334	374684	112		
Dual specificity mitogen-activated protein kinase kinase 2	P36507	66	342114	5184		
Neuronal acetylcholine receptor subunit alpha-7	P36544	275	192924	702		
Receptor-type tyrosine-protein kinase FLT3	P36888	968	80	0		
Activin receptor type-1B	P36896	10	2	0		
TGF-beta receptor type-1	P36897	441	410601	931		
Serine/threonine-protein kinase receptor R3	P37023	12	193913	16159		
Testosterone 17-beta-dehydrogenase 3	P37058	144	27	0		
Estradiol 17-beta-dehydrogenase 2	P37059	200	69	0		
Amiloride-sensitive sodium channel subunit alpha	P37088	36	287376	7983		
TGF-beta receptor type-2	P37173	38	403094	10608		
Peroxisome proliferator-activated receptor gamma	P37231	1460	428055	293		
Squalene synthase	P37268	140	22	0		
Vasopressin V1a receptor	P37288	456	319557	701		
"Glutamate receptor ionotropic, kainate 1"	P39086	67	7	0		
Flap endonuclease 1	P39748	30	414156	13805		
Calcium-dependent phospholipase A2	P39877	15	15	1		
Macrophage metalloelastase	P39900	241	217721	903		
Thrombopoietin receptor	P40238	179	214749	1200		
Signal transducer and activator of transcription 3	P40763	92	433862	4716		
Delta-type opioid receptor	P41143	1873	364122	194		
Kappa-type opioid receptor	P41145	1949	353461	181		
Nociceptin receptor	P41146	935	19419	21		
Extracellular calcium-sensing receptor	P41180	329	52	0		
P2Y purinoceptor 2	P41231	88	180	2		
Tyrosine-protein kinase CSK	P41240	14	342151	24439		
"Isoleucine--tRNA ligase, cytoplasmic"	P41252	15	6640	443		
Mitogen-activated protein kinase kinase kinase 8	P41279	129	396633	3075		
Pituitary adenylate cyclase-activating polypeptide type I receptor	P41586	15	8	1		
Metabotropic glutamate receptor 5	P41594	991	223886	226		
5-hydroxytryptamine receptor 2B	P41595	632	125	0		
C-C chemokine receptor type 2	P41597	998	214257	215		
Protein kinase C iota type	P41743	22	312992	14227		
Melanocortin receptor 3	P41968	251	28	0		
Signal transducer and activator of transcription 1-alpha/beta	P42224	30	472910	15764		
Signal transducer and activator of transcription 6	P42226	60	366155	6103		
Glutamate receptor 1	P42261	40	405346	10134		
Glutamate receptor 2	P42262	76	400958	5276		
Aldo-keto reductase family 1 member C3	P42330	188	34	0		
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform"	P42336	1533	189557	124		
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform"	P42338	582	36	0		
Serine/threonine-protein kinase mTOR	P42345	953	407966	428		
Caspase-3	P42574	623	447684	719		
Caspase-2	P42575	26	382005	14693		
Megakaryocyte-associated tyrosine-protein kinase	P42679	30	64552	2152		
Tyrosine-protein kinase TXK	P42681	25	119	5		
Abelson tyrosine-protein kinase 2	P42684	24	352746	14698		
Tyrosine-protein kinase FRK	P42685	158	10	0		
Lysosomal Pro-X carboxypeptidase	P42785	230	1	0		
Endothelin-converting enzyme 1	P42892	197	1	0		
Excitatory amino acid transporter 1	P43003	16	18	1		
Excitatory amino acid transporter 2	P43004	28	19	1		
Excitatory amino acid transporter 3	P43005	18	61	3		
Prostaglandin F2-alpha receptor	P43088	41	255456	6231		
Prostaglandin E2 receptor EP3 subtype	P43115	435	1200	3		
Prostaglandin E2 receptor EP2 subtype	P43116	48	255485	5323		
Prostacyclin receptor	P43119	89	339629	3816		
Carbonic anhydrase 7	P43166	286	0	0		
Glucagon-like peptide 1 receptor	P43220	16	400027	25002		
Cathepsin K	P43235	1177	22	0		
Nuclear receptor subfamily 4 group A member 2	P43354	10	357121	35712		
Tyrosine-protein kinase ZAP-70	P43403	77	414594	5384		
Tyrosine-protein kinase SYK	P43405	325	439061	1351		
Nicotinamide phosphoribosyltransferase	P43490	197	0	0		
Neuronal acetylcholine receptor subunit alpha-4	P43681	457	125	0		
"Troponin T, cardiac muscle"	P45379	17	330272	19428		
Collagenase 3	P45452	1776	362437	204		
Mitogen-activated protein kinase 8	P45983	679	433138	638		
Mitogen-activated protein kinase 9	P45984	485	430812	888		
Dual specificity mitogen-activated protein kinase kinase 4	P45985	12	354033	29503		
5-hydroxytryptamine receptor 3A	P46098	349	402953	1155		
B1 bradykinin receptor	P46663	600	7	0		
Cytosolic phospholipase A2	P47712	133	332253	2498		
Gamma-aminobutyric acid receptor subunit alpha-2	P47869	494	0	0		
Gamma-aminobutyric acid receptor subunit beta-2	P47870	69	18	0		
Glucagon receptor	P47871	509	339609	667		
5-hydroxytryptamine receptor 5A	P47898	81	330277	4077		
P2Y purinoceptor 1	P47900	175	111	1		
Vasopressin V1b receptor	P47901	183	226	1		
Xanthine dehydrogenase/oxidase	P47989	19	0	0		
Melatonin receptor type 1A	P48039	551	435724	791		
ATP-sensitive inward rectifier potassium channel 1	P48048	42	123385	2938		
G protein-activated inward rectifier potassium channel 2	P48051	21	401904	19138		
Glutamate receptor 4	P48058	64	64789	1012		
Sodium- and chloride-dependent glycine transporter 1	P48067	430	48	0		
Neuropeptides B/W receptor type 1	P48145	85	286311	3368		
Prolyl endopeptidase	P48147	109	24	0		
Gamma-aminobutyric acid receptor subunit alpha-4	P48169	18	21	1		
Retinoic acid receptor RXR-gamma	P48443	96	432337	4504		
Lanosterol synthase	P48449	82	0	0		
G protein-activated inward rectifier potassium channel 4	P48544	24	1349	56		
Gastric inhibitory polypeptide receptor	P48546	73	1	0		
G protein-activated inward rectifier potassium channel 1	P48549	30	1349	45		
Casein kinase I isoform alpha	P48729	156	398363	2554		
Casein kinase I isoform delta	P48730	190	421236	2217		
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform"	P48736	702	341829	487		
Hydroxycarboxylic acid receptor 3	P49019	16	82	5		
MAP kinase-activated protein kinase 2	P49137	471	362473	770		
Neuropeptide Y receptor type 2	P49146	125	230254	1842		
CX3C chemokine receptor 1	P49238	43	1	0		
Natural resistance-associated macrophage protein 2	P49281	30	0	0		
Melatonin receptor type 1B	P49286	515	435368	845		
Fatty acid synthase	P49327	52	354352	6814		
Cyclin-dependent kinase 8	P49336	133	15	0		
Protein farnesyltransferase/geranylgeranyltransferase type-1 subunit alpha	P49354	1113	193251	174		
Protein farnesyltransferase subunit beta	P49356	1074	193248	180		
Casein kinase I isoform epsilon	P49674	26	75	3		
C-X-C chemokine receptor type 3	P49682	555	1	0		
Proteasome subunit beta type-2	P49721	14	342131	24438		
Dual specificity protein kinase CLK1	P49759	100	157031	1570		
Dual specificity protein kinase CLK2	P49760	285	157044	551		
Dual specificity protein kinase CLK3	P49761	12	156941	13078		
Presenilin-1	P49768	190	443645	2335		
Regulator of G-protein signaling 4	P49798	39	389756	9994		
Presenilin-2	P49810	188	401486	2136		
Glycogen synthase kinase-3 alpha	P49840	453	491849	1086		
Glycogen synthase kinase-3 beta	P49841	1520	447479	294		
Type-2 angiotensin II receptor	P50052	286	7	0		
Ketohexokinase	P50053	75	0	0		
Matrix metalloproteinase-14	P50281	306	362473	1185		
5-hydroxytryptamine receptor 6	P50406	1639	339602	207		
Methionine aminopeptidase 2	P50579	335	386208	1153		
Cyclin-dependent kinase 7	P50613	213	408162	1916		
Cyclin-dependent kinase 9	P50750	254	464051	1827		
"Cone cGMP-specific 3',5'-cyclic phosphodiesterase subunit alpha'"	P51160	15	4	0		
Potassium-transporting ATPase subunit beta	P51164	77	0	0		
Tyrosine-protein kinase Blk	P51451	211	192640	913		
Dual specificity protein phosphatase 3	P51452	64	341114	5330		
Matrix metalloproteinase-15	P51511	12	7	1		
Matrix metalloproteinase-16	P51512	30	7	0		
P2Y purinoceptor 4	P51582	28	32	1		
Interleukin-1 receptor-associated kinase 1	P51617	94	383910	4084		
C-C chemokine receptor type 3	P51677	835	25	0		
C-C chemokine receptor type 4	P51679	176	323262	1837		
C-C chemokine receptor type 5	P51681	1514	356259	235		
C-C chemokine receptor type 8	P51685	125	2	0		
Potassium voltage-gated channel subfamily KQT member 1	P51787	17	302337	17785		
Ribosomal protein S6 kinase alpha-3	P51812	270	319037	1182		
Cytoplasmic tyrosine-protein kinase BMX	P51813	13	333194	25630		
cAMP-dependent protein kinase catalytic subunit PRKX	P51817	198	0	0		
Cyclin-H	P51946	52	368984	7096		
Serine/threonine-protein kinase Nek2	P51955	123	323724	2632		
Serine/threonine-protein kinase Nek4	P51957	67	0	0		
Tyrosine-protein kinase JAK3	P52333	585	223663	382		
Kinesin-like protein KIF11	P52732	486	59	0		
Aldo-keto reductase family 1 member C2	P52895	34	6	0		
Serine/threonine-protein kinase PLK1	P53350	373	422683	1133		
ATP-citrate synthase	P53396	12	302773	25231		
Methionine aminopeptidase 1	P53582	62	22	0		
Geranylgeranyl transferase type-1 subunit beta	P53609	208	193198	929		
Dipeptidyl peptidase 1	P53634	52	300441	5778		
LIM domain kinase 1	P53667	155	213667	1378		
LIM domain kinase 2	P53671	59	27	0		
Mitogen-activated protein kinase 12	P53778	167	266410	1595		
Mitogen-activated protein kinase 10	P53779	456	409747	899		
Monocarboxylate transporter 1	P53985	43	0	0		
Voltage-dependent calcium channel subunit alpha-2/delta-1	P54289	123	0	0		
"Tyrosine--tRNA ligase, cytoplasmic"	P54577	12	74	6		
5'-AMP-activated protein kinase catalytic subunit alpha-2	P54646	10	566	57		
"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1A"	P54750	12	8	1		
Ephrin type-B receptor 3	P54753	19	60	3		
Ephrin type-B receptor 4	P54760	207	96394	466		
Ephrin type-B receptor 1	P54762	10	356681	35668		
Ephrin type-A receptor 4	P54764	10	28	3		
Oxysterols receptor LXR-beta	P55055	452	409788	907		
Transitional endoplasmic reticulum ATPase	P55072	74	398168	5381		
Proteinase-activated receptor 2	P55085	30	362542	12085		
Microsomal triglyceride transfer protein large subunit	P55157	148	0	0		
Caspase-7	P55210	228	432733	1898		
Caspase-9	P55211	10	372538	37254		
Caspase-6	P55212	60	437559	7293		
Adenosine kinase	P55263	302	10	0		
"Methionine--tRNA ligase, cytoplasmic"	P56192	28	0	0		
P2X purinoceptor 3	P56373	41	6	0		
Histone deacetylase 4	P56524	353	454619	1288		
Proto-oncogene Wnt-3	P56703	37	10	0		
Protein Wnt-3a	P56704	15	17	1		
Beta-secretase 1	P56817	1839	219571	119		
Serine/threonine-protein kinase SIK1	P57059	13	213656	16435		
Eukaryotic initiation factor 4A-I	P60842	25	214871	8595		
C-X-C chemokine receptor type 4	P61073	136	238166	1751		
Ubiquitin-conjugating enzyme E2 N	P61088	13	326665	25128		
WD repeat-containing protein 5	P61964	12	299220	24935		
Estrogen-related receptor gamma	P62508	13	357419	27494		
Peptidyl-prolyl cis-trans isomerase A	P62937	48	214251	4464		
Peptidyl-prolyl cis-trans isomerase FKBP1A	P62942	265	47005	177		
Growth factor receptor-bound protein 2	P62993	91	442574	4863		
"Troponin C, slow skeletal and cardiac muscles"	P63316	17	330245	19426		
Casein kinase II subunit beta	P67870	25	435392	17416		
Tubulin alpha-1B chain	P68363	25	332868	13315		
Tubulin alpha-4A chain	P68366	25	504231	20169		
Tubulin beta-4B chain	P68371	25	5	0		
Casein kinase II subunit alpha	P68400	217	447853	2064		
Casein kinase I isoform gamma-2	P78368	106	17	0		
Cyclin-A1	P78396	507	355978	702		
DNA-dependent protein kinase catalytic subunit	P78527	378	502152	1328		
Disintegrin and metalloproteinase domain-containing protein 17	P78536	1253	375573	300		
"HLA class II histocompatibility antigen, DR beta 3 chain"	P79483	11	0	0		
Mitogen-activated protein kinase kinase kinase 9	P80192	42	0	0		
Corticosteroid 11-beta-dehydrogenase isozyme 2	P80365	43	94	2		
E3 ubiquitin-protein ligase XIAP	P98170	244	383500	1572		
Cyclin-dependent kinase 6	Q00534	18	229487	12749		
Cyclin-dependent kinase 5	Q00535	803	419172	522		
Cyclin-dependent kinase 16	Q00536	14	421344	30096		
Cyclin-dependent kinase 17	Q00537	12	304401	25367		
Nuclear factor NF-kappa-B p100 subunit	Q00653	162	374850	2314		
Sorbitol dehydrogenase	Q00796	55	16	0		
Voltage-dependent N-type calcium channel subunit alpha-1B	Q00975	155	299988	1935		
E3 ubiquitin-protein ligase Mdm2	Q00987	216	432594	2003		
Runt-related transcription factor 1	Q01196	10	231461	23146		
AMP deaminase 3	Q01432	25	0	0		
Melanocyte-stimulating hormone receptor	Q01726	222	350078	1577		
Sodium-dependent dopamine transporter	Q01959	1232	405233	329		
"Dihydroorotate dehydrogenase (quinone), mitochondrial"	Q02127	222	0	0		
Protein kinase C epsilon type	Q02156	162	396505	2448		
Amyloid beta A4 precursor protein-binding family A member 1	Q02410	11	303898	27627		
Dual specificity mitogen-activated protein kinase kinase 1	Q02750	421	353247	839		
Angiopoietin-1 receptor	Q02763	435	57	0		
Mitogen-activated protein kinase kinase kinase 10	Q02779	22	380943	17316		
Peroxisome proliferator-activated receptor delta	Q03181	801	314192	392		
Transcription factor p65	Q04206	177	438654	2478		
Glutamate carboxypeptidase 2	Q04609	123	2	0		
Protein kinase C theta type	Q04759	465	473037	1017		
Lactoylglutathione lyase	Q04760	18	0	0		
Activin receptor type-1	Q04771	80	394296	4929		
Aldo-keto reductase family 1 member C1	Q04828	18	7	0		
Macrophage-stimulating protein receptor	Q04912	121	374001	3091		
Tyrosine-protein phosphatase non-receptor type 12	Q05209	10	359140	35914		
Focal adhesion kinase 1	Q05397	251	444191	1770		
Hormone-sensitive lipase	Q05469	133	186171	1400		
Protein kinase C zeta type	Q05513	45	391548	8701		
"Glutamate receptor ionotropic, NMDA 1"	Q05586	194	456029	2351		
Protein kinase C delta type	Q05655	513	504295	983		
"Folylpolyglutamate synthase, mitochondrial"	Q05932	13	1	0		
Tyrosine-protein phosphatase non-receptor type 11	Q06124	33	420116	12731		
Tyrosine-protein kinase BTK	Q06187	163	443385	2720		
Tyrosine-protein kinase receptor TYRO3	Q06418	178	894	5		
Acetylcholine receptor subunit delta	Q07001	13	99	8		
Glutamyl aminopeptidase	Q07075	23	0	0		
"cAMP-specific 3',5'-cyclic phosphodiesterase 4B"	Q07343	699	70906	101		
"KH domain-containing, RNA-binding, signal transduction-associated protein 1"	Q07666	35	385662	11019		
Bcl-2-like protein 1	Q07817	213	473690	2224		
Induced myeloid leukemia cell differentiation protein Mcl-1	Q07820	136	355173	2612		
Peroxisome proliferator-activated receptor alpha	Q07869	1107	369132	333		
Activated CDC42 kinase 1	Q07912	188	1484	8		
"1,25-dihydroxyvitamin D(3) 24-hydroxylase, mitochondrial"	Q07973	10	0	0		
Epithelial discoidin domain-containing receptor 1	Q08345	48	362523	7553		
"cAMP-specific 3',5'-cyclic phosphodiesterase 4C"	Q08493	243	1	0		
"cAMP-specific 3',5'-cyclic phosphodiesterase 4D"	Q08499	445	64747	145		
Adenylate cyclase type 1	Q08828	43	0	0		
Tyrosine-protein kinase ITK/TSK	Q08881	514	362591	705		
ATP-binding cassette sub-family C member 8	Q09428	21	2	0		
"Alpha-1,6-mannosyl-glycoprotein 2-beta-N-acetylglucosaminyltransferase"	Q10469	15	0	0		
Calcium-activated potassium channel subunit alpha-1	Q12791	13	110661	8512		
Potassium voltage-gated channel subfamily H member 2	Q12809	1166	308032	264		
Mitogen-activated protein kinase kinase kinase kinase 2	Q12851	252	286221	1136		
Tyrosine-protein kinase Mer	Q12866	50	19	0		
"Glutamate receptor ionotropic, NMDA 2A"	Q12879	32	368465	11515		
Seprase	Q12884	26	26	1		
Ileal sodium/bile acid cotransporter	Q12908	154	0	0		
"Glutamate receptor ionotropic, kainate 2"	Q13002	35	216743	6193		
Acetyl-CoA carboxylase 1	Q13085	121	355890	2941		
Platelet-activating factor acetylhydrolase	Q13093	244	317237	1300		
S-methyl-5'-thioadenosine phosphorylase	Q13126	57	1	0		
5'-AMP-activated protein kinase catalytic subunit alpha-1	Q13131	168	417021	2482		
Oxysterols receptor LXR-alpha	Q13133	404	358405	887		
Serine/threonine-protein kinase PAK 1	Q13153	41	468768	11433		
Dual specificity mitogen-activated protein kinase kinase 5	Q13163	16	286052	17878		
Mitogen-activated protein kinase 7	Q13164	23	10885	473		
Serine/threonine-protein kinase 3	Q13188	207	322369	1557		
"Glutamate receptor ionotropic, NMDA 2B"	Q13224	205	417208	2035		
cGMP-dependent protein kinase 2	Q13237	75	362742	4837		
Metabotropic glutamate receptor 1	Q13255	377	339669	901		
Prostaglandin D2 receptor	Q13258	334	339604	1017		
Steroidogenic factor 1	Q13285	51	384429	7538		
"cGMP-inhibited 3',5'-cyclic phosphodiesterase B"	Q13370	232	354599	1528		
Phospholipase D1	Q13393	67	365874	5461		
Disintegrin and metalloproteinase domain-containing protein 9	Q13443	20	2301	115		
Rho-associated protein kinase 1	Q13464	522	324339	621		
Non-receptor tyrosine-protein kinase TNK1	Q13470	10	362522	36252		
Baculoviral IAP repeat-containing protein 3	Q13489	29	370482	12775		
Baculoviral IAP repeat-containing protein 2	Q13490	61	332091	5444		
Short transient receptor potential channel 3	Q13507	13	364766	28059		
Tubulin beta-3 chain	Q13509	30	53	2		
Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1	Q13526	31	425976	13741		
Serine/threonine-protein kinase ATR	Q13535	67	415542	6202		
Histone deacetylase 1	Q13547	1543	452752	293		
Calcium/calmodulin-dependent protein kinase type II subunit beta	Q13554	29	422766	14578		
Calcium/calmodulin-dependent protein kinase type II subunit gamma	Q13555	65	417293	6420		
Calcium/calmodulin-dependent protein kinase type II subunit delta	Q13557	143	194355	1359		
Polycystin-2	Q13563	28	330270	11795		
Dual specificity tyrosine-phosphorylation-regulated kinase 1A	Q13627	412	156938	381		
5-hydroxytryptamine receptor 4	Q13639	267	340596	1276		
Voltage-dependent L-type calcium channel subunit alpha-1S	Q13698	27	4	0		
Tubulin alpha-3C/D chain	Q13748	25	296885	11875		
Ectonucleotide pyrophosphatase/phosphodiesterase family member 2	Q13822	34	80	2		
Bone morphogenetic protein receptor type-2	Q13873	11	193474	17589		
Protein-tyrosine kinase 6	Q13882	108	120	1		
Tubulin beta-2A chain	Q13885	25	5	0		
Voltage-dependent L-type calcium channel subunit alpha-1C	Q13936	42	64754	1542		
"High affinity cAMP-specific 3',5'-cyclic phosphodiesterase 7A"	Q13946	196	1	0		
Core-binding factor subunit beta	Q13951	10	225212	22521		
cGMP-dependent protein kinase 1	Q13976	109	0	0		
Calcium/calmodulin-dependent protein kinase type 1	Q14012	18	282119	15673		
"Calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1C"	Q14123	31	0	0		
Inhibitor of nuclear factor kappa-B kinase subunit epsilon	Q14164	81	319141	3940		
Protein-tyrosine kinase 2-beta	Q14289	118	378362	3206		
Metabotropic glutamate receptor 2	Q14416	322	225493	700		
"cGMP-inhibited 3',5'-cyclic phosphodiesterase A"	Q14432	275	38	0		
Sodium channel protein type 5 subunit alpha	Q14524	58	24	0		
Squalene monooxygenase	Q14534	21	0	0		
ATP-sensitive inward rectifier potassium channel 11	Q14654	63	333502	5294		
Maternal embryonic leucine zipper kinase	Q14680	162	65036	401		
Membrane-bound transcription factor site-1 protease	Q14703	14	0	0		
Caspase-8	Q14790	116	440633	3799		
Metabotropic glutamate receptor 3	Q14832	40	19	0		
Metabotropic glutamate receptor 4	Q14833	92	5287	57		
Lysine--tRNA ligase	Q15046	74	20	0		
Bromodomain-containing protein 3	Q15059	29	0	0		
P2Y purinoceptor 6	Q15077	40	23	1		
Cyclin-dependent kinase 5 activator 1	Q15078	521	337595	648		
"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase"	Q15125	28	13	0		
Serine/threonine-protein kinase D1	Q15139	102	383719	3762		
Receptor tyrosine-protein kinase erbB-4	Q15303	86	368020	4279		
Ribosomal protein S6 kinase alpha-2	Q15349	11	175889	15990		
P2Y purinoceptor 14	Q15391	34	3	0		
Ribosomal protein S6 kinase alpha-1	Q15418	36	445870	12385		
Tryptase alpha/beta-1	Q15661	188	3	0		
Leukotriene B4 receptor 1	Q15722	301	3497	12		
"Myosin light chain kinase, smooth muscle"	Q15746	28	90922	3247		
TGF-beta-activated kinase 1 and MAP3K7-binding protein 1	Q15750	38	283283	7455		
Mitogen-activated protein kinase 11	Q15759	220	322094	1464		
Neuropeptide Y receptor type 5	Q15761	972	0	0		
Sodium channel protein type 9 subunit alpha	Q15858	1145	0	0		
NT-3 growth factor receptor	Q16288	192	376906	1963		
Gamma-aminobutyric acid receptor subunit alpha-6	Q16445	58	0	0		
"Glutamate receptor ionotropic, kainate 5"	Q16478	11	8	1		
Serine/threonine-protein kinase N2	Q16513	179	372403	2080		
Mitogen-activated protein kinase 14	Q16539	2669	470548	176		
Bcl-2-related protein A1	Q16548	19	340151	17903		
Vesicular acetylcholine transporter	Q16572	152	0	0		
C3a anaphylatoxin chemotactic receptor	Q16581	18	24	1		
Mitogen-activated protein kinase kinase kinase 11	Q16584	48	391539	8157		
Calcitonin gene-related peptide type 1 receptor	Q16602	477	1	0		
BDNF/NT-3 growth factors receptor	Q16620	173	362646	2096		
MAP kinase-activated protein kinase 3	Q16644	10	5119	512		
Prostasin	Q16651	16	0	0		
Hypoxia-inducible factor 1-alpha	Q16665	38	440375	11589		
Cytochrome P450 1B1	Q16678	13	0	0		
Ceramide glucosyltransferase	Q16739	43	9	0		
Glutaminyl-peptide cyclotransferase	Q16769	102	2	0		
Carbonic anhydrase 9	Q16790	1163	216704	186		
Discoidin domain-containing receptor 2	Q16832	30	80	3		
Membrane primary amine oxidase	Q16853	84	0	0		
AP2-associated protein kinase 1	Q2M2I8	14	14	1		
Tubulin beta-8 chain	Q3ZCM7	25	5	0		
Mitogen-activated protein kinase kinase kinase 19	Q56UN5	23	0	0		
Free fatty acid receptor 4	Q5NUL3	20	3	0		
Leucine-rich repeat serine/threonine-protein kinase 2	Q5S007	264	0	0		
Serine/threonine-protein kinase MRCK alpha	Q5VT25	84	17	0		
Long-chain fatty acid transport protein 4	Q6P1M0	11	5	0		
Long-chain fatty acid transport protein 1	Q6PCB7	34	0	0		
Tubulin alpha-3E chain	Q6PEY2	25	5	0		
Neutral cholesterol ester hydrolase 1	Q6PIU2	14	1	0		
Dipeptidyl peptidase 8	Q6V1X1	201	2	0		
Neuropeptide S receptor	Q6W5P4	44	204064	4638		
5-hydroxytryptamine receptor 3D	Q70Z44	148	15	0		
Tubulin alpha-1A chain	Q71U36	25	373273	14931		
Serine/threonine-protein kinase MARK2	Q7KZI7	106	306221	2889		
Serine/threonine-protein kinase TAO1	Q7L7X3	125	1	0		
Ribonucleoside-diphosphate reductase subunit M2 B	Q7LG56	35	365055	10430		
Transient receptor potential cation channel subfamily M member 8	Q7Z2W7	40	4	0		
Probable G-protein coupled receptor 142	Q7Z601	73	0	0		
Dipeptidyl peptidase 9	Q86TI2	151	2	0		
Serine/threonine-protein kinase pim-3	Q86V86	240	0	0		
Histone-arginine methyltransferase CARM1	Q86X55	27	372386	13792		
Homeodomain-interacting protein kinase 1	Q86Z02	10	375576	37558		
Calcium/calmodulin-dependent protein kinase type 1D	Q8IU85	39	17	0		
Ras guanyl-releasing protein 3	Q8IV61	34	11	0		
Mitogen-activated protein kinase kinase kinase kinase 3	Q8IVH8	13	0	0		
MAP kinase-activated protein kinase 5	Q8IW41	48	371328	7736		
NAD-dependent protein deacetylase sirtuin-2	Q8IXJ6	34	363995	10706		
Carbonic anhydrase 13	Q8N1Q1	112	0	0		
Secreted frizzled-related protein 1	Q8N474	64	0	0		
Misshapen-like kinase 1	Q8N4C8	171	217426	1271		
Calcium/calmodulin-dependent protein kinase kinase 1	Q8N5S9	12	437689	36474		
"Kynurenine/alpha-aminoadipate aminotransferase, mitochondrial"	Q8N5Z0	27	0	0		
Homeodomain-interacting protein kinase 4	Q8NE63	158	0	0		
Phosphatidylinositol 3-kinase catalytic subunit type 3	Q8NEB9	10	156875	15688		
Transient receptor potential cation channel subfamily V member 1	Q8NER1	1103	313534	284		
Tubulin--tyrosine ligase	Q8NG68	10	0	0		
Phosphatidylinositol 5-phosphate 4-kinase type-2 gamma	Q8TBX8	10	0	0		
Phosphoethanolamine/phosphocholine phosphatase	Q8TCT1	25	282368	11295		
Prokineticin receptor 1	Q8TCW9	13	0	0		
Mitogen-activated protein kinase 15	Q8TD08	14	15176	1084		
Serine/threonine-protein kinase BRSK1	Q8TDC3	61	260789	4275		
Mucolipin-3	Q8TDD5	10	215587	21559		
Hydroxycarboxylic acid receptor 2	Q8TDS4	298	54	0		
G-protein coupled bile acid receptor 1	Q8TDU6	186	1	0		
Glucose-dependent insulinotropic receptor	Q8TDV5	403	3	0		
"Histone-lysine N-methyltransferase, H3 lysine-79 specific"	Q8TEK3	22	1	0		
Serine/threonine-protein kinase haspin	Q8TF76	18	2	0		
G protein-coupled receptor kinase 7	Q8WTQ7	10	0	0		
Scavenger receptor class B member 1	Q8WTV0	37	1	0		
Histone deacetylase 7	Q8WUI4	252	409497	1625		
Gamma-secretase subunit APH-1B	Q8WW43	181	2	0		
G2/mitotic-specific cyclin-B3	Q8WWL7	237	282	1		
5-hydroxytryptamine receptor 3C	Q8WXA8	148	15	0		
Nicastrin	Q92542	181	357372	1974		
Dual specificity tyrosine-phosphorylation-regulated kinase 2	Q92630	38	22	1		
Lysophosphatidic acid receptor 1	Q92633	79	16	0		
Estrogen receptor beta	Q92731	1238	421349	340		
Histone deacetylase 2	Q92769	538	436922	812		
Growth hormone secretagogue receptor type 1	Q92847	942	25	0		
Mitogen-activated protein kinase kinase kinase kinase 1	Q92918	11	358028	32548		
Bcl2 antagonist of cell death	Q92934	23	501128	21788		
KiSS-1 receptor	Q969F8	79	0	0		
Histone deacetylase 10	Q969S8	299	309741	1036		
Melanin-concentrating hormone receptor 2	Q969V1	61	27	0		
Gamma-secretase subunit APH-1A	Q96BI3	181	2	0		
Histone deacetylase 11	Q96DB2	255	64	0		
NAD-dependent protein deacetylase sirtuin-1	Q96EB6	64	373540	5837		
Aurora kinase B	Q96GD4	1053	334406	318		
Carboxypeptidase B2	Q96IY4	54	215009	3982		
Lethal(3)malignant brain tumor-like protein 3	Q96JM7	43	0	0		
Lymphokine-activated killer T-cell-originated protein kinase	Q96KB5	27	365117	13523		
Histone-lysine N-methyltransferase EHMT2	Q96KQ7	35	263165	7519		
Egl nine homolog 2	Q96KS0	57	373610	6555		
MAP/microtubule affinity-regulating kinase 4	Q96L34	14	272611	19472		
Mas-related G-protein coupled receptor member X1	Q96LB2	34	302933	8910		
Sentrin-specific protease 8	Q96LD8	25	361315	14453		
Pyroglutamylated RFamide peptide receptor	Q96P65	14	5	0		
Testis-specific serine/threonine-protein kinase 2	Q96PF2	30	0	0		
NADPH oxidase 5	Q96PH1	15	0	0		
Serine/threonine-protein kinase SMG1	Q96Q15	19	14	1		
PAS domain-containing serine/threonine-protein kinase	Q96RG2	16	0	0		
Bile acid receptor	Q96RI1	289	372669	1290		
Trace amine-associated receptor 1	Q96RJ0	170	355123	2089		
Calcium/calmodulin-dependent protein kinase kinase 2	Q96RR4	20	25	1		
Solute carrier family 22 member 12	Q96S37	10	0	0		
SRSF protein kinase 1	Q96SB4	49	157032	3205		
Sodium channel protein type 2 subunit alpha	Q99250	19	5	0		
Sphingosine 1-phosphate receptor 3	Q99500	227	229584	1011		
Sortilin	Q99523	11	13	1		
Mitogen-activated protein kinase kinase kinase 14	Q99558	16	320493	20031		
P2X purinoceptor 7	Q99572	1351	90644	67		
Mitogen-activated protein kinase kinase kinase 5	Q99683	38	404556	10646		
Monoglyceride lipase	Q99685	122	25	0		
Melanin-concentrating hormone receptor 1	Q99705	2217	1087	0		
Sigma non-opioid intracellular receptor 1	Q99720	1338	6	0		
Equilibrative nucleoside transporter 1	Q99808	164	0	0		
